,energy_per_atom,O_concentration,C-O-H_C-sp1-H:mean_value,ether_concentration,H-O_coordination_number,O_n12_m2,prox_Ixx_ether_area,norm_density_ether_std,sp2-like_n11_m3,max_bond_angle
79,-44.3323375,0.1162791,107.23,0.12195122,0.42,0.02,3.420956096,0.034381403,0.015,124.39
80,-44.33001308139535,0.1162791,107.22,0.12195122,0.42,0.023,5.13079924,0.036699429,0.0,125.01
81,-44.32772994186047,0.1162791,107.04,0.12195122,0.42,0.009,5.606942737,0.033146015,0.0,125.08
82,-44.31585174418605,0.1162791,107.03,0.12195122,0.42,0.006,3.571162314,0.03204001,0.0,124.1
83,-44.32280988372093,0.1162791,107.05,0.12195122,0.42,0.032,1.784811066,0.038519323,0.026,123.48
84,-44.331932558139535,0.1162791,107.19,0.12195122,0.42,0.038,1.047489478,0.038418748,0.003,124.25
85,-44.31730552325581,0.1162791,107.31,0.12195122,0.42,0.049,2.725889539,0.041306764,0.0,124.23
86,-44.33868459302325,0.1162791,107.42,0.12195122,0.42,0.029,4.018004129,0.03947993,0.009,125.35
87,-44.32452819767442,0.1162791,107.29,0.12195122,0.42,0.035,2.21261387,0.042384192,0.015,126.13
88,-44.319264244186044,0.1162791,107.35,0.12195122,0.42,0.006,4.636487188,0.036424674,0.0,125.61
89,-44.339863953488376,0.1162791,107.27,0.12195122,0.42,0.052,4.868409628,0.044093003,0.003,125.48
90,-44.321043895348836,0.1162791,107.29,0.12195122,0.42,0.023,2.585514928,0.037007761,0.003,134.75
91,-44.38551935483871,0.1143695,107.36,0.135802469,0.4,0.018,6.267827006,0.036702786,0.006,132.86
92,-44.3124125,0.1162791,107.4,0.12195122,0.42,0.038,2.546018503,0.047473909,0.006,130.7
93,-44.33340465116279,0.1162791,107.4,0.12195122,0.42,0.026,4.928852529,0.037780421,0.006,127.56
94,-44.32254505813953,0.1162791,107.45,0.12195122,0.42,0.044,1.984239788,0.044308443,0.0,128.67
95,-44.31965523255814,0.1162791,107.16,0.12195122,0.42,0.015,4.898137113,0.033094998,0.0,125.13
96,-44.31823139534884,0.1162791,107.04,0.12195122,0.42,0.038,1.957542908,0.039753566,0.026,124.76
97,-44.30928459302325,0.1162791,107.19,0.12195122,0.42,0.044,1.723698461,0.042104463,0.0,129.39
98,-44.31646686046512,0.1162791,106.98,0.12195122,0.42,0.023,3.907640202,0.03369322,0.012,124.73
99,-44.31686656976744,0.1162791,107.41,0.12195122,0.42,0.026,4.380988044,0.040319484,0.0,130.6
100,-44.32149563953488,0.1162791,107.09,0.12195122,0.42,0.02,4.910711189,0.039733835,0.0,134.73
101,-44.313392441860465,0.1162791,107.18,0.12195122,0.42,0.038,5.627698165,0.039550543,0.012,126.74
102,-44.33334796511628,0.1162791,107.22,0.12195122,0.42,0.038,2.115087765,0.040944004,0.003,130.89
103,-44.33287151162791,0.1162791,107.43,0.12195122,0.42,0.006,3.760109522,0.0302858,0.0,126.83
104,-44.380192668621696,0.1143695,107.02,0.135802469,0.4,0.047,3.1805003,0.039500903,0.021,125.53
105,-44.340397093023256,0.1162791,107.61,0.12195122,0.42,0.015,5.355167681,0.036909312,0.0,132.82
106,-44.32296773255814,0.1162791,107.14,0.12195122,0.42,0.041,3.08996813,0.042685223,0.0,131.67
107,-44.31770755813954,0.1162791,107.2,0.12195122,0.42,0.084,3.821992189,0.049490483,0.02,125.25
