,Fermi_energy,C-C-C_C-sp2-C:error,C-O_sp3-strained:mean_value,O_concentration,prox_density_ether_std,ether_concentration,sp2-like_n11_m1,sp2-like_n7_m1,sp2-like_n10_m7,H-O_coordination_number,Ixx_bar_O_area
122,-4.5985,1.99,0.1482,0.1162791,0.278967325,0.12195122,0.0,0.003,0.18,0.42,0.001402279
123,-4.6298,2.19,0.1483,0.1162791,0.227042991,0.12195122,0.0,0.0,0.16,0.42,0.001331319
124,-4.6407,1.6,0.1482,0.1162791,0.257459495,0.12195122,0.0,0.006,0.142,0.42,0.001275581
125,-4.5943,1.77,0.1478,0.1162791,0.292168593,0.12195122,0.0,0.003,0.192,0.42,0.00131202
126,-4.6435,1.66,0.1482,0.1162791,0.187485661,0.12195122,0.0,0.0,0.131,0.42,0.001159808
127,-4.6505,1.8,0.1477,0.1162791,0.322668062,0.12195122,0.0,0.003,0.157,0.42,0.001390669
128,-4.6055,1.32,0.1482,0.1162791,0.250701287,0.12195122,0.0,0.0,0.137,0.42,0.001299001
129,-4.7697,1.55,0.1475,0.1162791,0.210724907,0.12195122,0.0,0.006,0.177,0.42,0.001467275
130,-4.6415,1.71,0.1475,0.1162791,0.354186417,0.12195122,0.0,0.0,0.206,0.42,0.001410683
131,-4.6881,1.46,0.1473,0.1162791,0.194202418,0.12195122,0.0,0.0,0.16,0.42,0.00126078
132,-4.7125,1.61,0.148,0.1162791,0.233703638,0.12195122,0.0,0.006,0.128,0.42,0.001095313
133,-4.6319,1.82,0.1476,0.1162791,0.246557901,0.12195122,0.0,0.0,0.14,0.42,0.001532989
134,-4.673,1.88,0.1482,0.1162791,0.278616689,0.12195122,0.0,0.009,0.154,0.42,0.0014422
135,-4.6384,1.64,0.1478,0.1162791,0.311882741,0.12195122,0.0,0.0,0.134,0.42,0.00146307
136,-4.6524,1.46,0.1482,0.1162791,0.237213595,0.12195122,0.0,0.003,0.16,0.42,0.001308826
137,-4.6303,1.48,0.1477,0.1162791,0.316700392,0.12195122,0.0,0.009,0.174,0.42,0.00142237
138,-4.7479,1.44,0.1471,0.1162791,0.31907178,0.12195122,0.02,0.012,0.116,0.42,0.001483991
139,-4.72,1.57,0.1482,0.1162791,0.244141742,0.12195122,0.0,0.003,0.18,0.42,0.001380907
140,-4.7123,2.04,0.1475,0.1162791,0.245640699,0.12195122,0.0,0.0,0.134,0.42,0.001141869
141,-4.6508,1.36,0.1481,0.1162791,0.334563007,0.12195122,0.0,0.0,0.145,0.42,0.001345478
142,-4.6907,1.83,0.1474,0.1162791,0.277648182,0.12195122,0.0,0.0,0.192,0.42,0.001287704
143,-4.6039,1.8,0.1475,0.1162791,0.30092821,0.12195122,0.0,0.012,0.14,0.42,0.00125305
144,-4.6348,1.45,0.1472,0.1162791,0.25538363,0.12195122,0.0,0.0,0.169,0.42,0.001240559
145,-4.5988,1.7,0.1478,0.1162791,0.267232121,0.12195122,0.0,0.009,0.154,0.42,0.001284695
146,-4.6039,1.48,0.1481,0.1162791,0.34943163,0.12195122,0.0,0.015,0.119,0.42,0.001684238
147,-4.7811,1.41,0.1476,0.1162791,0.2630165,0.12195122,0.0,0.012,0.11,0.42,0.001434326
148,-4.5828,1.62,0.1478,0.1162791,0.211416311,0.12195122,0.0,0.003,0.151,0.42,0.001486696
149,-4.7129,2.19,0.1472,0.1162791,0.220945588,0.12195122,0.0,0.0,0.122,0.42,0.001313192
150,-4.666,1.53,0.1478,0.1162791,0.243711904,0.111111111,0.0,0.0,0.174,0.42,0.001434773
151,-4.7035,1.6,0.1474,0.1162791,0.215559027,0.12195122,0.0,0.009,0.11,0.42,0.001035661
152,-4.7068,1.86,0.1479,0.1162791,0.190313588,0.12195122,0.0,0.0,0.125,0.42,0.001245588
153,-4.6532,1.39,0.148,0.1162791,0.268971218,0.12195122,0.0,0.0,0.172,0.42,0.001271705
154,-4.6022,1.94,0.1479,0.1162791,0.241745397,0.12195122,0.0,0.0,0.142,0.42,0.001381648
155,-4.6973,1.51,0.148,0.1162791,0.212356766,0.12195122,0.0,0.0,0.221,0.42,0.001337525
156,-4.6803,1.39,0.1472,0.1162791,0.179166207,0.12195122,0.0,0.009,0.151,0.42,0.001353158
157,-4.7181,1.49,0.1476,0.1162791,0.320927486,0.12195122,0.006,0.0,0.119,0.42,0.001772291
158,-4.6287,1.6,0.1473,0.1162791,0.183340894,0.12195122,0.0,0.0,0.172,0.42,0.001271797
159,-4.6981,1.8,0.1468,0.1162791,0.247794808,0.12195122,0.0,0.0,0.154,0.42,0.001344996
160,-4.6864,1.7,0.147,0.1162791,0.252680084,0.12195122,0.0,0.003,0.151,0.42,0.001521975
161,-4.6477,1.94,0.148,0.1162791,0.238795756,0.12195122,0.0,0.0,0.125,0.42,0.00118748
162,-4.7197,1.6,0.1477,0.1162791,0.242401978,0.12195122,0.0,0.0,0.145,0.42,0.001218002
163,-4.6756,1.54,0.1479,0.1162791,0.227512887,0.12195122,0.0,0.0,0.166,0.42,0.001486332
164,-4.6654,1.53,0.1478,0.1162791,0.179669633,0.12195122,0.0,0.006,0.131,0.42,0.001660737
165,-4.6778,1.45,0.1483,0.1162791,0.180879691,0.12195122,0.0,0.0,0.166,0.42,0.001085743
166,-4.6492,1.76,0.1477,0.1162791,0.151922997,0.12195122,0.0,0.003,0.163,0.42,0.001361371
167,-4.6708,1.48,0.1478,0.1162791,0.289717666,0.12195122,0.0,0.0,0.116,0.42,0.001618375
168,-4.704,1.89,0.1479,0.1162791,0.373258276,0.12195122,0.0,0.0,0.125,0.42,0.001473921
169,-4.6088,1.63,0.1477,0.1162791,0.238596667,0.12195122,0.0,0.0,0.189,0.42,0.001369823
170,-4.6709,1.89,0.1466,0.1162791,0.380295919,0.12195122,0.0,0.0,0.131,0.42,0.001408076
171,-4.6801,1.38,0.1474,0.1162791,0.190169348,0.12195122,0.0,0.0,0.131,0.42,0.001381744
172,-4.7528,1.4,0.1472,0.1162791,0.158196796,0.12195122,0.0,0.0,0.163,0.42,0.001128513
173,-4.6426,1.47,0.1473,0.1162791,0.282779832,0.12195122,0.0,0.0,0.174,0.42,0.001477176
174,-4.6572,1.71,0.1473,0.1162791,0.384378352,0.12195122,0.0,0.006,0.189,0.42,0.001240155
175,-4.6288,1.91,0.1476,0.1162791,0.24440108,0.12195122,0.0,0.0,0.183,0.42,0.001438195
176,-4.6198,1.83,0.1474,0.1162791,0.29286883,0.12195122,0.0,0.003,0.14,0.42,0.001370014
177,-4.6039,1.78,0.1477,0.1162791,0.30975108,0.12195122,0.0,0.0,0.14,0.42,0.001220211
178,-4.6366,1.65,0.148,0.1162791,0.236473336,0.12195122,0.0,0.0,0.131,0.42,0.001506493
179,-4.6493,1.5,0.1481,0.1162791,0.242949568,0.12195122,0.0,0.0,0.172,0.42,0.001437444
180,-4.6208,2.17,0.1469,0.1162791,0.315539857,0.12195122,0.0,0.0,0.131,0.42,0.001083502
181,-4.6309,1.58,0.1472,0.1162791,0.33036663,0.12195122,0.0,0.0,0.195,0.42,0.001346196
182,-4.5831,1.5,0.1476,0.1162791,0.217360399,0.12195122,0.0,0.006,0.14,0.42,0.001159589
183,-4.6602,1.37,0.1476,0.1162791,0.293151315,0.12195122,0.0,0.003,0.169,0.42,0.001166891
184,-4.6542,1.57,0.1475,0.1162791,0.234395103,0.12195122,0.0,0.0,0.157,0.42,0.00126559
185,-4.6923,1.61,0.1478,0.1162791,0.217858002,0.12195122,0.0,0.003,0.154,0.42,0.001316833
186,-4.6997,1.57,0.1476,0.1162791,0.195177747,0.12195122,0.0,0.009,0.14,0.42,0.001378664
187,-4.6512,2.18,0.1481,0.1162791,0.301899848,0.12195122,0.0,0.0,0.166,0.42,0.001278093
188,-4.6265,1.74,0.147,0.1162791,0.284721932,0.12195122,0.0,0.0,0.172,0.42,0.001484467
189,-4.5693,2.27,0.1484,0.1143695,0.310130017,0.135802469,0.0,0.0,0.106,0.4,0.001121456
190,-4.6311,1.85,0.1482,0.1162791,0.296750809,0.12195122,0.0,0.0,0.142,0.42,0.001598206
191,-4.6328,1.62,0.1476,0.1162791,0.262449671,0.12195122,0.0,0.006,0.151,0.42,0.001433186
192,-4.6928,1.4,0.1471,0.1162791,0.273528342,0.12195122,0.0,0.0,0.14,0.42,0.001463932
193,-4.6418,1.59,0.1479,0.1162791,0.287511347,0.12195122,0.0,0.006,0.198,0.42,0.001445282
194,-4.6861,1.44,0.1488,0.1162791,0.255947253,0.12195122,0.0,0.0,0.186,0.42,0.001441256
195,-4.5629,1.43,0.1483,0.1162791,0.283882344,0.12195122,0.0,0.006,0.145,0.42,0.001433401
196,-4.6546,1.49,0.1479,0.1162791,0.232666,0.12195122,0.0,0.009,0.145,0.42,0.001151052
197,-4.7608,1.89,0.1477,0.1162791,0.227517077,0.12195122,0.0,0.0,0.14,0.42,0.001296056
198,-4.5867,1.62,0.1482,0.1162791,0.268920996,0.12195122,0.0,0.0,0.163,0.42,0.001215816
199,-4.575,1.9,0.1489,0.1162791,0.262336182,0.12195122,0.0,0.0,0.14,0.42,0.001390275
200,-4.5857,1.73,0.148,0.1162791,0.245880807,0.12195122,0.0,0.0,0.148,0.42,0.001396155
201,-4.5601,1.73,0.1475,0.1162791,0.266676842,0.12195122,0.0,0.009,0.148,0.42,0.001406449
202,-4.588,1.56,0.1476,0.1162791,0.224585394,0.12195122,0.0,0.0,0.201,0.42,0.00158146
203,-4.6528,1.43,0.1477,0.1162791,0.208356097,0.12195122,0.0,0.009,0.137,0.42,0.001134416
204,-4.6548,2.02,0.1482,0.1162791,0.318454818,0.12195122,0.0,0.003,0.108,0.42,0.001364961
205,-4.5857,1.93,0.1482,0.1162791,0.305419226,0.12195122,0.0,0.0,0.166,0.42,0.00151368
206,-4.7455,1.65,0.147,0.1162791,0.296632098,0.12195122,0.0,0.003,0.18,0.42,0.001553162
207,-4.5942,1.8,0.1473,0.1162791,0.326086998,0.12195122,0.0,0.006,0.099,0.42,0.001330738
208,-4.8457,1.42,0.1463,0.1162791,0.316743537,0.12195122,0.0,0.003,0.151,0.42,0.001261067
209,-4.5972,1.62,0.1478,0.1162791,0.284591235,0.12195122,0.0,0.0,0.154,0.42,0.001254714
210,-4.6025,1.64,0.1482,0.1162791,0.305860294,0.12195122,0.0,0.006,0.128,0.42,0.001243988
211,-4.5974,1.61,0.1481,0.1162791,0.312441119,0.12195122,0.0,0.003,0.14,0.42,0.001440418
212,-4.6787,1.97,0.1478,0.1162791,0.314234289,0.12195122,0.0,0.0,0.125,0.42,0.001333641
213,-4.6878,1.71,0.148,0.1162791,0.300008082,0.12195122,0.0,0.0,0.192,0.42,0.001240476
214,-4.6212,1.65,0.1478,0.1162791,0.242968927,0.12195122,0.0,0.0,0.142,0.42,0.001119345
215,-4.6735,1.36,0.1475,0.1162791,0.218825977,0.12195122,0.0,0.006,0.172,0.42,0.001137895
216,-4.6616,1.85,0.1474,0.1143695,0.322405784,0.135802469,0.0,0.006,0.144,0.4,0.001205777
217,-4.6417,1.72,0.1476,0.1162791,0.268352216,0.12195122,0.0,0.006,0.142,0.42,0.001095723
218,-4.6565,1.53,0.1481,0.1162791,0.192863862,0.12195122,0.0,0.003,0.131,0.42,0.001423219
219,-4.6525,1.57,0.1472,0.1162791,0.148852193,0.12195122,0.009,0.006,0.18,0.42,0.001238464
220,-4.6282,1.51,0.1481,0.1162791,0.283617876,0.12195122,0.0,0.0,0.18,0.42,0.001566392
221,-4.7283,1.62,0.1478,0.1162791,0.231142718,0.12195122,0.0,0.0,0.163,0.42,0.001489041
222,-4.6454,1.92,0.1467,0.1162791,0.251363045,0.12195122,0.0,0.006,0.137,0.42,0.001252039
223,-4.7322,1.44,0.1475,0.1162791,0.13157243,0.12195122,0.0,0.0,0.145,0.42,0.001427601
224,-4.6192,1.42,0.1478,0.1162791,0.251851263,0.12195122,0.0,0.009,0.137,0.42,0.00157161
225,-4.6738,1.55,0.1482,0.1162791,0.260441076,0.12195122,0.0,0.003,0.195,0.42,0.00118727
226,-4.6954,1.54,0.1477,0.1162791,0.337011719,0.12195122,0.0,0.0,0.151,0.42,0.001428038
227,-4.6288,1.36,0.1475,0.1162791,0.184750825,0.12195122,0.0,0.006,0.16,0.42,0.001316454
228,-4.6235,1.51,0.148,0.1162791,0.292338266,0.12195122,0.0,0.006,0.209,0.42,0.001410872
229,-4.655,1.69,0.1482,0.1162791,0.164917366,0.12195122,0.0,0.006,0.18,0.42,0.001409318
230,-4.5835,1.77,0.1482,0.1162791,0.333896507,0.12195122,0.0,0.0,0.16,0.42,0.001425131
231,-4.5775,1.52,0.1479,0.1162791,0.26477303,0.12195122,0.0,0.0,0.151,0.42,0.001544043
232,-4.6253,1.62,0.1476,0.1162791,0.339142274,0.12195122,0.0,0.0,0.186,0.42,0.001582667
233,-4.6499,1.87,0.1475,0.1162791,0.232604423,0.12195122,0.0,0.0,0.172,0.42,0.001424805
234,-4.7121,2.08,0.1478,0.1162791,0.332839996,0.12195122,0.0,0.0,0.14,0.42,0.001316046
235,-4.6764,1.48,0.1483,0.1162791,0.376985912,0.12195122,0.0,0.0,0.148,0.42,0.001610723
236,-4.6349,2.0,0.1468,0.1162791,0.272061225,0.12195122,0.0,0.0,0.145,0.42,0.001293622
237,-4.6329,1.89,0.1478,0.1143695,0.363195675,0.135802469,0.0,0.0,0.141,0.4,0.001368463
238,-4.6795,1.73,0.1471,0.1162791,0.250959583,0.12195122,0.0,0.006,0.134,0.42,0.001405383
